track,cond,model,si_sdr_base,si_sdr_enh,pesq_base,pesq_enh,dur_s
track_1,noise,gtcrn,20.060797,21.45303,2.2043557167053223,2.6931395530700684,3.28
track_1,noise,gtcrn,18.5949,21.003094,2.6857964992523193,2.7734177112579346,3.584
track_1,noise,gtcrn,19.717258,21.256525,2.2591660022735596,2.938382148742676,3.184
track_1,noise,gtcrn,22.942106,23.919077,2.9608993530273438,3.2326509952545166,4.288
track_1,noise,gtcrn,26.411383,18.039936,3.4023799896240234,2.5104312896728516,3.616
track_1,noise,gtcrn,12.72448,18.001593,1.5677491426467896,2.186490058898926,5.792
track_1,noise,gtcrn,13.772879,21.796894,2.98628830909729,3.4099693298339844,4.736
track_1,noise,gtcrn,24.95321,22.805576,2.175381660461426,2.6835625171661377,3.664
track_1,noise,gtcrn,14.76671,18.098701,1.678532600402832,2.249131917953491,3.456
track_1,noise,gtcrn,18.407606,24.575617,1.9677373170852661,3.089282274246216,3.952
track_1,noise,gtcrn,14.937057,20.275284,1.3920007944107056,2.6876003742218018,3.232
track_1,noise,gtcrn,18.800537,21.779993,2.7063968181610107,2.9350857734680176,4.32
track_1,noise,gtcrn,23.400494,19.790253,3.001037359237671,2.946504831314087,3.36
track_1,noise,gtcrn,18.169865,21.90305,1.9827277660369873,2.935500383377075,3.152
track_1,noise,gtcrn,23.363346,22.449055,2.853986978530884,3.136960744857788,3.392
track_1,noise,gtcrn,19.212313,20.83519,2.3792669773101807,2.7982702255249023,3.808
track_1,noise,gtcrn,27.275402,26.149677,3.2872376441955566,3.6454668045043945,3.152
track_1,noise,gtcrn,14.413772,19.653812,2.028738260269165,2.073917865753174,3.408
track_1,noise,gtcrn,22.827873,25.25589,3.0792009830474854,2.8506951332092285,3.664
track_1,noise,gtcrn,13.813134,16.819263,1.502823829650879,2.299400806427002,3.2
track_1,noise,gtcrn,21.651632,22.347118,2.558438301086426,3.2409303188323975,5.664
track_1,noise,gtcrn,17.952806,22.391144,2.1892073154449463,2.865429639816284,3.76
track_1,noise,ulunas,18.020275,23.907875,1.8926262855529785,2.991746425628662,3.024
track_1,noise,ulunas,19.318298,20.625631,2.9572322368621826,3.5604512691497803,4.9280625
track_1,noise,ulunas,31.71757,32.700916,4.0333380699157715,4.2231926918029785,4.4
track_1,noise,ulunas,20.517435,24.337511,2.049868106842041,3.7312748432159424,4.5760625
track_1,noise,ulunas,19.05875,24.089188,1.7314214706420898,3.145252227783203,8.288
track_1,noise,ulunas,25.07946,26.1915,4.266061782836914,4.2605485916137695,4.432
track_1,noise,ulunas,19.83805,22.467468,2.542224884033203,3.7423601150512695,7.213375
track_1,noise,ulunas,20.498444,24.333746,1.381270170211792,2.515131711959839,6.4
track_1,noise,ulunas,25.238712,27.12678,2.826922655105591,3.631824493408203,4.784
track_1,noise,ulunas,19.43064,20.143423,2.077855348587036,2.9471333026885986,3.904
track_1,noise,ulunas,21.945322,24.035204,2.6336166858673096,3.555734634399414,5.968
track_1,noise,ulunas,14.541222,18.692148,1.805084466934204,2.564955472946167,4.992
track_1,noise,ulunas,15.36095,19.770817,1.2048799991607666,2.9171509742736816,7.984
track_1,noise,ulunas,6.7075086,14.466888,1.169541597366333,1.9885334968566895,8.16
track_1,noise,ulunas,12.857357,19.481333,1.3047267198562622,2.6779165267944336,8.848
track_1,noise,ulunas,20.988834,24.529919,3.162278413772583,3.8994240760803223,5.184
track_1,noise,ulunas,17.990475,19.971106,1.8520219326019287,2.751988172531128,6.333375
track_1,noise,ulunas,20.662298,24.359636,2.065302610397339,3.6898210048675537,5.3280625
track_1,noise,ulunas,18.648964,22.710047,2.5099101066589355,3.0550312995910645,4.496
track_1,noise,ulunas,21.160198,25.490799,2.5076255798339844,3.745863199234009,6.768
track_1,noise,ulunas,21.869751,23.016474,3.0500173568725586,3.797456979751587,4.9280625
track_1,noise,ulunas,14.747232,25.360245,2.757720470428467,3.699422597885132,4.496
track_1,noise,ulunas,32.78537,30.133173,3.0761842727661133,3.9174883365631104,4.928
track_1,noise,ulunas,22.415178,25.933163,2.518540859222412,4.001614570617676,3.229375
track_1,noise,ulunas,31.34617,30.331781,3.7356510162353516,3.79917573928833,8.8640625
track_1,noise,ulunas,22.184868,25.285149,2.6586081981658936,3.6391940116882324,7.024
track_1,noise,ulunas,19.32666,23.094246,2.4995946884155273,3.585200071334839,9.904
track_1,noise,ulunas,14.33255,19.837318,1.4293769598007202,2.8312129974365234,8.16
track_1,noise,ulunas,13.855074,17.596935,1.4777103662490845,2.525136709213257,8.08
track_1,noise,ulunas,24.041096,24.276508,2.8716039657592773,2.9802632331848145,3.776
track_1,noise,ulunas,21.25272,21.892454,2.2784788608551025,3.1559112071990967,3.296
track_1,noise,ulunas,16.739048,25.082952,2.412719249725342,3.335623264312744,5.728
track_1,noise,ulunas,30.062222,33.34303,3.277585983276367,3.784986734390259,9.856
track_1,noise,ulunas,21.0564,24.700817,2.3083674907684326,3.5229527950286865,7.632
track_1,noise,ulunas,22.234596,23.714626,2.614447832107544,3.1747751235961914,9.501375
track_1,noise,ulunas,15.221429,24.3064,1.54741370677948,3.5829505920410156,9.936
track_1,noise,ulunas,21.608744,24.441345,1.834519386291504,3.1916685104370117,8.736
track_1,noise,ulunas,19.02758,19.971817,1.6348776817321777,3.043012857437134,3.1680625
track_1,noise,ulunas,17.722794,20.843098,1.2694900035858154,1.8322434425354004,5.6320625
track_1,noise,ulunas,23.860554,25.68488,2.306401252746582,3.412468433380127,3.248
track_1,noise,ulunas,21.098202,26.658697,2.2944729328155518,3.8174591064453125,8.656
track_1,noise,ulunas,16.514103,20.604939,1.4084477424621582,2.51222825050354,6.0
track_1,noise,ulunas,17.414457,22.72099,1.5997562408447266,2.826493501663208,5.456
track_1,noise,ulunas,18.577509,21.406399,2.1911776065826416,3.181748867034912,6.6080625
track_1,noise,ulunas,23.59682,22.469933,2.767285108566284,2.7683351039886475,3.6160625
track_1,noise,ulunas,20.968132,25.04074,2.3386263847351074,3.308230400085449,4.864
track_1,noise,ulunas,16.125088,21.120804,1.628577470779419,2.5431032180786133,3.792
track_1,noise,ulunas,19.566328,20.79047,1.7212551832199097,3.1437833309173584,3.184
